n,time
1,8.832001185510308e-06
2,6.805999873904511e-06
4,1.2029999197693542e-05
8,1.8697000996326096e-05
16,6.145199949969538e-05
32,0.00017623800158617087
64,0.0007626739989063935
128,0.0040084569991449825
256,0.015904411000519758
