n,time
1,4.499917849898338e-06
2,4.207948222756386e-06
4,5.166046321392059e-06
8,7.3749106377363205e-06
16,2.9207905754446983e-05
32,0.00010750000365078449
64,0.00034312508068978786
128,0.0031792919617146254
256,0.007383208954706788
512,0.035900665912777185
